LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 0.8
Lattice spacing in x,y,z = 1.118034 1.118034 1.118034
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.55901699) to (22.36068 22.36068 0.55901699)
  2 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.55901699) to (22.36068 22.36068 0.55901699)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 35 35 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.052 | 3.052 | 3.052 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              2.9925         2.394        
       500   2.9201013      0.69653658     0              3.6093376      12.308979    
      1000   3.0383969      0.59288895     0              3.6236898      11.788901    
      1500   2.8485431      0.74814138     0              3.5895632      12.801676    
      2000   2.9135241      0.55926747     0              3.4655078      10.903752    
      2500   3.0030181      0.65356185     0              3.6490724      12.138177    
      3000   2.8633444      0.63776483     0              3.4939509      12.079016    
      3500   2.9023643      0.71360467     0              3.608713       12.774238    
      4000   2.9651449      0.617779       0              3.575511       11.747334    
      4500   2.8977875      0.49433439     0              3.3848774      10.599635    
      5000   2.9495987      0.58230319     0              3.5245279      11.493406    
      5500   3.0097752      0.61201797     0              3.6142687      12.046898    
      6000   3.1288231      0.644862       0              3.7658631      12.4612      
      6500   3.1885271      0.71884011     0              3.8993959      12.972454    
      7000   3.1730778      0.77262595     0              3.937771       13.834465    
      7500   3.070718       0.71835574     0              3.7813969      13.251144    
      8000   2.9566186      0.73309455     0              3.6823216      13.27798     
      8500   3.1341061      0.69551636     0              3.8217872      13.339666    
      9000   2.9648895      0.73356247     0              3.6910397      13.749087    
      9500   2.9302141      0.80330371     0              3.7261922      13.555431    
     10000   3.1275871      0.72239348     0              3.8421616      13.097659    
     10500   3.3205944      0.57663465     0              3.8889276      11.767168    
     11000   3.2167786      0.79412591     0              4.0028625      13.853479    
     11500   3.1866569      0.67625843     0              3.8549487      12.700902    
     12000   3.1402989      0.72072597     0              3.8531741      13.155847    
     12500   2.8140977      0.75984655     0              3.566909       12.959893    
     13000   2.8471027      0.67930961     0              3.5192946      12.695818    
     13500   2.86824        0.66269785     0              3.5237672      12.12847     
     14000   2.9879516      0.64926394     0              3.6297457      12.23466     
     14500   2.8452722      0.75225398     0              3.590413       13.336354    
     15000   2.8975543      0.68314789     0              3.5734583      12.475995    
     15500   2.9194352      0.58303182     0              3.4951685      11.341885    
     16000   2.9635731      0.67231526     0              3.6284794      12.093375    
     16500   2.7998164      0.66947396     0              3.4622909      12.309324    
     17000   2.9881504      0.64983322     0              3.6305132      12.146021    
     17500   2.9705474      0.54353523     0              3.5066562      11.125866    
     18000   3.0702012      0.61473082     0              3.6772566      11.887459    
     18500   3.2869009      0.5703862      0              3.8490698      11.421512    
     19000   3.2109198      0.57853267     0              3.7814252      11.889957    
     19500   3.2017989      0.75121866     0              3.9450131      13.486418    
     20000   3.0018652      0.69860018     0              3.6929607      13.051745    
     20500   3.119295       0.57181551     0              3.6833122      11.240365    
     21000   3.0967219      0.71371523     0              3.8026954      13.012163    
     21500   3.2577577      0.66796884     0              3.9175821      12.414303    
     22000   3.3560499      0.76444868     0              4.1121084      13.791948    
     22500   3.0481534      0.75158071     0              3.7921137      13.533268    
     23000   2.9222395      0.75742004     0              3.672354       12.990417    
     23500   3.1064635      0.69870733     0              3.7974047      12.918185    
     24000   3.197795       0.7219305      0              3.911731       13.2945      
     24500   3.4012026      0.73948684     0              4.1321864      13.411451    
     25000   2.9672181      0.71008409     0              3.6698841      13.02351     
     25500   3.0378447      0.76770416     0              3.7979543      13.527245    
     26000   3.1476977      0.68493781     0              3.8247663      12.240932    
     26500   2.9283417      0.79576889     0              3.7167897      13.607565    
     27000   3.1599404      0.80735014     0              3.9593906      14.160401    
     27500   3.2417573      0.61371135     0              3.8473643      12.014302    
     28000   3.0333543      0.66638901     0              3.6921599      12.512159    
     28500   2.9676553      0.73426536     0              3.6945015      12.832122    
     29000   3.2316204      0.65138272     0              3.874924       12.404264    
